cod_id,poste_numero,na_fila_de_links
222494535,319,SIM
223390209,279,SIM
219991916,248,SIM
223976782,306,SIM
223390210,345,SIM
223390145,415,SIM
223976727,453,SIM
223976726,517,SIM
219298138,584,SIM
223390150,582,SIM
223976723,625,SIM
224318086,654,SIM
680337067,672,SIM
680337066,731,SIM
219298139,662,SIM
219991903,724,SIM
220780133,790,SIM
1834912248,845,SIM
1834912222,878,SIM
224413650,899,SIM
219991760,925,SIM
222494654,950,SIM
221621794,977,SIM
220853353,1013,SIM
1699346326,1035,SIM
221621795,1053,SIM
220853354,1092,SIM
219991761,1164,SIM
220853355,1221,SIM
219991762,1262,SIM
220853367,1337,SIM
220559150,1388,SIM
601456298,1188,SIM
601456297,1176,SIM
601456294,1168,SIM
738920150,1117,SIM
738920155,1093,SIM
224318112,939,SIM
219991966,876,SIM
219298212,812,SIM
220780200,746,SIM
219991967,696,SIM
219298211,641,SIM
224318113,583,SIM
224251201,447,SIM
221370999,481,SIM
223637225,547,SIM
223390149,815,SIM
222494483,809,SIM
219991905,693,SIM
221621684,755,SIM
220780134,840,SIM
222494485,880,SIM
224358897,902,SIM
223979113,932,SIM
221705458,993,SIM
221621680,890,SIM
219386131,1016,SIM
350236578,955,SIM
223979109,976,SIM
223456915,1076,SIM
221705460,1156,SIM
222496777,1111,SIM
219991187,1083,SIM
224318083,1046,SIM
223456916,1209,SIM
220855407,1279,SIM
220780292,1342,SIM
1433186910,1402,SIM
224318341,1463,SIM
224318338,1538,SIM
222494647,1615,SIM
223390395,1484,SIM
223976982,1443,SIM
219298346,1399,SIM
219991755,1409,SIM
220853357,1358,SIM
219298345,1338,SIM
223390396,1294,SIM
221621813,1231,SIM
220855403,1227,SIM
222496779,1175,SIM
738920142,1142,SIM
738920144,1152,SIM
224318082,1087,SIM
223390148,1032,SIM
221621679,969,SIM
738921189,1193,SIM
738921188,1250,SIM
221621816,1316,SIM
738920149,1383,SIM
219991679,1451,SIM
738920114,1516,SIM
222494675,1577,SIM
221621821,1624,SIM
350236624,1620,SIM
224292444,1278,SIM
224102922,1354,SIM
224102923,1380,SIM
224292445,1426,SIM
220247384,1480,SIM
220857120,1537,SIM
222495092,1585,SIM
219992744,1641,SIM
219385332,1707,SIM
223978101,1780,SIM
223455919,1833,SIM
223455918,1834,SIM
221704482,1886,SIM
224358073,1956,SIM
220854166,1996,SIM
221704505,2056,SIM
223455916,2105,SIM
222495093,2155,SIM
220854165,2213,SIM
224358070,2151,SIM
219385333,2218,SIM
219992743,2294,SIM
219992820,1982,SIM
224358122,2045,SIM
223978099,2048,SIM
1990629696,1977,SIM
716273567,1892,SIM
224102921,1885,SIM
222733206,1785,SIM
221807366,1700,SIM
223978091,1760,SIM
223455871,1689,SIM
222495160,1622,SIM
224358032,1576,SIM
220854077,1530,SIM
219384974,1445,SIM
223978075,1382,SIM
219992913,1283,SIM
223978074,1206,SIM
223977756,1141,SIM
222494792,1181,SIM
221704116,1216,SIM
220854019,1265,SIM
221986648,1239,SIM
221704162,1036,SIM
223455545,1100,SIM
219384947,1127,SIM
224357718,1137,SIM
219384977,1147,SIM
219992912,1150,SIM
223455767,1149,SIM
219385325,1155,SIM
221704477,1160,SIM
223978089,1217,SIM
222495159,1305,SIM
221704408,1376,SIM
219992932,1458,SIM
222495162,1588,SIM
221704411,1656,SIM
219384967,1740,SIM
223978067,1801,SIM
223455868,1859,SIM
222494761,1876,SIM
224357698,1919,SIM
219384953,1965,SIM
223455525,1942,SIM
220854032,2011,SIM
221986532,2043,SIM
219992875,2110,SIM
223455553,2146,SIM
219384995,2181,SIM
219992992,2217,SIM
350236539,2229,SIM
224357771,2246,SIM
223977829,2269,SIM
222494815,2299,SIM
223455609,2303,SIM
223977828,2324,SIM
222494818,2335,SIM
221704219,2351,SIM
221704175,2362,SIM
219992959,2367,SIM
219992900,1353,SIM
221704082,1414,SIM
223455533,1482,SIM
223977738,1541,SIM
219384901,1592,SIM
220854001,1672,SIM
222494871,1583,SIM
221704189,1621,SIM
219993003,1671,SIM
220854063,1726,SIM
221704112,1794,SIM
219384988,1600,SIM
224357803,1543,SIM
222494875,1477,SIM
223694409,1385,SIM
221528619,1450,SIM
222494874,1488,SIM
219993000,1519,SIM
222494872,1579,SIM
221704185,1649,SIM
223977859,1748,SIM
223455649,1846,SIM
221704223,1713,SIM
219385039,1628,SIM
219385038,1813,SIM
222494838,1912,SIM
223455559,2015,SIM
220854033,2122,SIM
221986654,1839,SIM
224223469,1645,SIM
224495795,1752,SIM
221704239,1821,SIM
222494845,1928,SIM
223455594,2018,SIM
219384994,2116,SIM
223977855,2262,SIM
224357820,2313,SIM
904333620,2420,SIM
224357734,2209,SIM
224357754,2289,SIM
219384932,2358,SIM
221986643,2423,SIM
220854030,2482,SIM
221704143,2559,SIM
219387235,2649,SIM
220930839,2736,SIM
220854043,2564,SIM
221704081,2548,SIM
223694180,2127,SIM
220854031,2167,SIM
898450855,2279,SIM
219384896,2375,SIM
221706350,2436,SIM
221704107,2488,SIM
219384944,2579,SIM
223978046,2661,SIM
222494749,2519,SIM
224357708,2473,SIM
219992948,2431,SIM
220854040,2352,SIM
223455526,2409,SIM
221704089,2319,SIM
219384939,2231,SIM
224357700,2134,SIM
219384952,2052,SIM
221097397,2592,SIM
223978141,2620,SIM
220854285,2544,SIM
223455903,2499,SIM
222571763,1925,SIM
224357717,1987,SIM
219384976,2074,SIM
220854062,2153,SIM
221704097,2237,SIM
223455867,2323,SIM
222495144,2404,SIM
219992836,2495,SIM
221704422,2553,SIM
219385337,2606,SIM
219992739,2655,SIM
222495095,2706,SIM
223455913,2788,SIM
220854195,2729,SIM
221704503,2600,SIM
219992795,2528,SIM
219385248,2458,SIM
224358107,2383,SIM
223455895,2328,SIM
220854253,2274,SIM
219992931,2073,SIM
219384965,1993,SIM
223978085,1904,SIM
350236683,1864,SIM
221704412,1809,SIM
222495161,1735,SIM
219384975,1955,SIM
220854061,1872,SIM
224358033,1816,SIM
221704409,1754,SIM
223455925,2977,SIM
222495123,2919,SIM
219992848,2857,SIM
219385267,2802,SIM
223455860,2746,SIM
