cod_id;poste_numero;na_fila_de_links
224318337;1898;SIM
224318340;1970;SIM
224318346;1515;SIM
224318347;1260;SIM
224318363;2140;SIM
224318367;1479;SIM
224318368;1954;SIM
224318372;959;SIM
224318373;818;SIM
224318382;21;SIM
224318384;1871;SIM
224318387;1827;SIM
224318390;2058;SIM
224318391;2051;SIM
224357522;729;SIM
224357544;576;SIM
224357555;333;SIM
224357561;497;SIM
224357563;465;SIM
224357564;473;SIM
224357594;587;SIM
224357628;800;SIM
224357647;516;SIM
224357653;461;SIM
224357759;1151;NAO
224357787;133;SIM
224357788;164;SIM
224357789;150;SIM
224358040;523;SIM
224358041;371;SIM
224358115;867;SIM
224358117;561;SIM
224359052;698;SIM
224359054;431;SIM
224387533;335;SIM
224390601;1321;SIM
224413417;454;SIM
224413418;416;SIM
224495756;1890;SIM
224495803;526;SIM
224495804;252;SIM
224495806;291;SIM
224495807;579;SIM
224495808;358;SIM
224495809;544;SIM
224495810;325;SIM
224495811;390;SIM
224495812;244;SIM
224495920;182;SIM
224495926;212;SIM
2569577817;226;SIM
2582969888;663;SIM
2582969890;589;SIM
2582969894;529;SIM
2650511978;208;SIM
2650511985;253;SIM
350236506;52;SIM
350236509;487;SIM
350236523;1009;SIM
350236561;198;SIM
350236563;2055;SIM
350236565;909;SIM
350236571;1124;NAO
350236584;161;SIM
350236589;1006;NAO
350236609;334;NAO
350236610;2159;NAO
350236623;735;SIM
350236635;1730;NAO
350236636;2707;NAO
350236640;2066;NAO
350236642;1400;NAO
350236654;1244;SIM
350236667;2252;NAO
350236669;1808;SIM
350236671;1841;SIM
350236676;262;SIM
350236699;2735;NAO
350236700;1351;NAO
350236704;2305;NAO
350236705;3505;NAO
350236708;577;NAO
350236709;456;NAO
350236720;3168;NAO
350237766;2117;NAO
452630541;1130;SIM
452630933;1180;SIM
452630956;1303;SIM
452630962;1324;SIM
452630985;1384;SIM
452631008;1454;SIM
452631011;1419;SIM
452631075;1669;SIM
452631306;2032;SIM
452631358;2147;SIM
452631385;2100;SIM
452631409;2255;SIM
452631449;2121;SIM
452632476;2311;SIM
575503350;673;SIM
607811406;1696;SIM
612500464;1249;SIM
680339549;664;NAO
817706420;1456;SIM
817706421;1457;SIM
817706424;1504;SIM
817706425;1614;SIM
922742634;885;SIM
922742665;785;SIM
992635467;1334;SIM
